machine,digits,seconds,ops,flops_per_second
aws_ec2,1,9.63e-06,42,4361370.717
aws_ec2,2,8.8e-07,144,163636363.6
aws_ec2,4,9.9e-07,408,412121212.1
aws_ec2,8,1.39e-06,1056,759712230.2
aws_ec2,16,2.13e-06,2592,1216901408
aws_ec2,32,5.32e-06,6144,1154887218
aws_ec2,64,7.431e-06,14208,1911990311
aws_ec2,128,1.207e-05,32256,2672410936
aws_ec2,256,2.405e-05,72192,3001746362
aws_ec2,512,5.317e-05,159744,3004400978
aws_ec2,1024,0.00010906,350208,3211149826
aws_ec2,2048,0.000239232,761856,3184590690
aws_ec2,4096,0.000551162,1646592,2987491881
aws_ec2,8192,0.001149545,3538944,3078560648
aws_ec2,16384,0.002455012,7569408,3083246844
aws_ec2,32768,0.005181625,16121856,3111351362
aws_ec2,65536,0.010776553,34209792,3174465156
aws_ec2,131072,0.022466829,72351744,3220380767
aws_ec2,262144,0.047139589,152567808,3236511205
aws_ec2,524288,0.103544043,320864256,3098819079
aws_ec2,1048576,0.246985674,673185792,2725606636
aws_ec2,2097152,0.548334978,1409286144,2570118998
