machine,digits,seconds,ops,flops_per_second
aws_ec2,1,2.04e-06,2,980392.1569
aws_ec2,2,2.4e-07,8,33333333.33
aws_ec2,4,1.9e-07,32,168421052.6
aws_ec2,8,2.3e-07,128,556521739.1
aws_ec2,16,3.7e-07,512,1383783784
aws_ec2,32,5.7e-07,2048,3592982456
aws_ec2,64,1.19e-06,8192,6884033613
aws_ec2,128,2.53e-06,32768,1.295177866e+10
aws_ec2,256,6.03e-06,131072,2.173665008e+10
aws_ec2,512,1.953e-05,524288,2.68452637e+10
aws_ec2,1024,6.8231e-05,2097152,3.073605839e+10
aws_ec2,2048,0.000256851,8388608,3.26594329e+10
aws_ec2,4096,0.001007385,33554432,3.33084491e+10
aws_ec2,8192,0.004354542,134217728,3.082246721e+10
aws_ec2,16384,0.017400434,536870912,3.085388054e+10
aws_ec2,32768,0.068922265,2147483648,3.11580539e+10
aws_ec2,65536,0.273979821,8589934592,3.135243523e+10
aws_ec2,131072,1.105736423,3.435973837e+10,3.107407665e+10
aws_ec2,262144,4.754495888,1.374389535e+11,2.890715582e+10
aws_ec2,524288,18.75703372,5.497558139e+11,2.930931522e+10
aws_ec2,1048576,74.94498775,2.199023256e+12,2.934183221e+10
aws_ec2,2097152,300.6326771,8.796093022e+12,2.925860591e+10
