machine,digits,seconds,ops,flops_per_second
ece_cluster,1,1.2008e-05,42,3497668.221
ece_cluster,2,9.32e-07,144,154506437.8
ece_cluster,4,1.245e-06,408,327710843.4
ece_cluster,8,1.732e-06,1056,609699769.1
ece_cluster,16,3.019e-06,2592,858562437.9
ece_cluster,32,6.332e-06,6144,970309538.9
ece_cluster,64,9.133e-06,14208,1555677214
ece_cluster,128,1.6859e-05,32256,1913280740
ece_cluster,256,3.4249e-05,72192,2107857164
ece_cluster,512,8.5776e-05,159744,1862339116
ece_cluster,1024,0.000157869,350208,2218345590
ece_cluster,2048,0.000401975,761856,1895282045
ece_cluster,4096,0.000959888,1646592,1715400130
ece_cluster,8192,0.001742927,3538944,2030460255
ece_cluster,16384,0.003672509,7569408,2061099918
ece_cluster,32768,0.00789631,16121856,2041694918
ece_cluster,65536,0.016532146,34209792,2069289250
ece_cluster,131072,0.034031642,72351744,2126013902
ece_cluster,262144,0.074169551,152567808,2057014043
ece_cluster,524288,0.181413478,320864256,1768690284
ece_cluster,1048576,0.407210348,673185792,1653164747
ece_cluster,2097152,0.919569903,1409286144,1532549227
