machine,digits,seconds,ops,flops_per_second
ece_cluster,1,1.795e-06,2,1114206.128
ece_cluster,2,2.72e-07,8,29411764.71
ece_cluster,4,2.89e-07,32,110726643.6
ece_cluster,8,2.63e-07,128,486692015.2
ece_cluster,16,4.98e-07,512,1028112450
ece_cluster,32,6.29e-07,2048,3255961844
ece_cluster,64,1.172e-06,8192,6989761092
ece_cluster,128,3.006e-06,32768,1.090086494e+10
ece_cluster,256,1.0107e-05,131072,1.296843772e+10
ece_cluster,512,3.4361e-05,524288,1.525822881e+10
ece_cluster,1024,0.000128831,2097152,1.627831811e+10
ece_cluster,2048,0.000503833,8388608,1.664958032e+10
ece_cluster,4096,0.00201671,33554432,1.663820381e+10
ece_cluster,8192,0.008258405,134217728,1.625225791e+10
ece_cluster,16384,0.033071061,536870912,1.623385812e+10
ece_cluster,32768,0.127853546,2147483648,1.679643401e+10
ece_cluster,65536,0.50836733,8589934592,1.689710193e+10
ece_cluster,131072,2.01969469,3.435973837e+10,1.701234278e+10
ece_cluster,262144,11.06964109,1.374389535e+11,1.24158455e+10
ece_cluster,524288,48.47616974,5.497558139e+11,1.134074364e+10
ece_cluster,1048576,205.1291524,2.199023256e+12,1.072018886e+10
ece_cluster,2097152,840.6978171,8.796093022e+12,1.046284746e+10
